No,Input,Output,Ven
2,2214.976908527421,1904.1527073581574,NO
4,2139.472509431869,2080.3522578926386,NO
5,2142.6969464658423,1695.4836488600572,NO
6,2601.044294252943,2112.51986456968,NO
7,1750.2462973088504,2344.484232384777,NO
8,2778.9341682849968,2541.66726962858,NO
9,2058.780210145228,2454.640757199464,NO
10,2740.4894258858667,2305.7056073371605,NO
11,2118.2064946966957,2100.767877703228,NO
12,2511.236532930522,2312.148053572209,NO
13,2276.3684083779094,2086.75581167432,NO
14,2766.0565053172822,2500.70428163007,NO
15,2426.2023714686043,1902.9043422163318,NO
16,1974.3738107976071,1525.7633399162642,NO
17,1799.7220291654608,3060.911622096105,NO
18,2322.5519698791672,2030.156138480699,NO
19,1823.4448865792838,1614.8612333300243,NO
20,1405.376041479606,2249.0400532617696,NO
21,2226.603070875889,2503.8619604642436,NO
22,1967.048188271857,2538.5511532576875,NO
23,2172.43218936964,2086.326039982808,NO
24,2456.2617187112655,2574.2555414969324,NO
25,2257.5134828328237,2412.3602873921386,NO
26,2280.6679958528407,1471.7861080546631,NO
27,1714.5110547222143,2421.690253421934,NO
28,3103.41201086369,2395.8176177334785,NO
29,2116.596578851441,2068.8171499233986,NO
30,2611.263123798538,1896.9145935870956,NO
31,2595.193161210589,1958.7223428865527,NO
32,1876.637098979439,2309.8959397446915,NO
33,2176.040139340096,1982.515868639795,NO
34,2520.00123197312,2479.0943238219725,NO
36,1835.657226364719,2260.9208229786373,NO
37,1948.709454265415,2172.456458223054,NO
38,2103.2864916965677,1790.4783159047802,NO
39,2510.305244591107,2579.2533771154403,NO
40,2547.653373619304,1528.6883007730921,NO
41,2408.1003795205997,1943.3316982392898,NO
42,2658.459955417326,2395.2486599699646,NO
43,2538.733646114632,2489.339842644842,NO
44,1934.3488625788762,2630.894484300587,NO
45,1965.3414396276657,2540.415263203108,NO
46,2206.3585762836556,2024.2016578216267,NO
47,1751.1333073986737,2484.376239556282,NO
48,2520.8750758446845,2062.159438990906,NO
49,2304.6757129771768,1851.0033988288326,NO
50,2004.485357187244,1868.1739413580826,NO
51,2594.2199100096914,2186.0715154114982,NO
52,1785.5760109198955,2130.0506099428367,NO
53,2316.443550984531,2088.3424005550096,NO
54,2075.6344388681914,2360.239313167381,NO
55,1810.2589515159084,1864.187277055663,NO
56,1970.4554000736953,2386.640375279334,NO
57,1886.9968613488695,2366.9712458393806,NO
58,1886.6323661549204,2109.760814938941,NO
59,2317.6281644005276,1873.0254374645458,NO
60,2087.8774127244455,2076.088346806215,NO
61,2454.018217956159,2147.9523808713247,NO
62,1987.3195468451386,2366.3052848915886,NO
63,1951.298203002881,2329.7784354019905,NO
64,2490.119724685041,2450.943830786705,NO
65,2835.2198620767076,1531.9661995609779,NO
66,2497.677993712348,2785.965724395747,NO
67,1805.18190440934,2148.8120687500823,NO
68,2551.1730692568967,2248.439432841558,NO
69,2443.406904945838,1829.7659546599432,NO
70,2313.4985847719186,2559.9497491689767,NO
71,1906.6214242341996,2451.239730142611,NO
72,1890.531139829508,2161.7606950618087,NO
73,2003.4967886779382,1606.5383677266295,NO
74,2240.5903245367313,2036.8010327485017,NO
75,1594.5022302699242,1981.2414087936766,NO
76,2193.8302519881827,2136.3136624900458,NO
77,2193.666863554481,2142.079643507621,NO
78,2344.4301751375665,2617.213213356238,NO
80,2665.469473070509,2251.5879079239603,NO
81,1490.7548354689918,2591.72213501558,NO
83,2602.7023985092906,1766.4788767384744,NO
84,2308.0663097033544,1615.0065701229087,NO
85,2564.3086709242207,2057.7148923423492,NO
86,2538.7375649911164,1606.5383677266295,NO
87,1957.4082140853902,3021.2472806082756,NO
88,1767.5586975564115,2160.3818824933155,NO
